Spanish,English,Pronunciation,Category
medalla,medal,meh-dah-yah,Abstract
trofeo,trophy,troh-feh-oh,Abstract
regla,rule,reh-glah,Abstract
falta,lack/foul,fahl-tah,Abstract
punto,point,poon-toh,Abstract
línea,line,lee-neh-ah,Abstract
círculo,circle,seer-koo-loh,Abstract
centro,center,sen-troh,Abstract
esquina,corner,es-kee-nah,Abstract
fondo,bottom/background,fon-doh,Abstract
superficie,surface,soo-per-fee-syeh,Abstract
interior,interior,een-teh-ryor,Abstract
exterior,exterior,ex-teh-ryor,Abstract
principio,beginning/principle,preen-see-pyoh,Abstract
final,final/end,fee-nahl,Abstract
mitad,half,mee-tahd,Abstract
cuarto,quarter/room,kwar-toh,Abstract
doble,double,doh-bleh,Abstract
par,pair,pahr,Abstract
docena,dozen,doh-seh-nah,Abstract
mayoría,majority,mah-yoh-ree-ah,Abstract
minoría,minority,mee-noh-ree-ah,Abstract
resto,rest/remainder,res-toh,Abstract
total,total,toh-tahl,Abstract
promedio,average,proh-meh-dyoh,Abstract
mínimo,minimum,mee-nee-moh,Abstract
máximo,maximum,mak-see-moh,Abstract
aumento,increase,ow-men-toh,Abstract
caída,fall/drop,kah-ee-dah,Abstract
cambio,change,kahm-byoh,Abstract
crecimiento,growth,kreh-see-myen-toh,Abstract
desarrollo,development,deh-sah-rroh-yoh,Abstract
progreso,progress,proh-greh-soh,Abstract
proceso,process,proh-seh-soh,Abstract
acción,action,ak-syohn,Abstract
actividad,activity,ak-tee-vee-dahd,Abstract
movimiento,movement,moh-vee-myen-toh,Abstract
dirección,direction,dee-rek-syohn,Abstract
oro,gold,oh-roh,Materials
plata,silver,plah-tah,Materials
hierro,iron,yeh-rroh,Materials
madera,wood,mah-deh-rah,Materials
vidrio,glass,vee-dryoh,Materials
plástico,plastic,plahs-tee-koh,Materials
papel,paper,pah-pel,Materials
piedra,stone,pyeh-drah,Materials
arena,sand,ah-reh-nah,Materials
tierra,earth/soil,tyeh-rrah,Materials
acero,steel,ah-seh-roh,Materials
algodón,cotton,ahl-goh-dohn,Materials
lana,wool,lah-nah,Materials
piel,leather/skin,pyel,Materials
gas,gas,gahs,Materials
electricidad,electricity,eh-lek-tree-see-dahd,Materials
energía,energy,eh-ner-hee-ah,Materials
batería,battery,bah-teh-ree-ah,Objects
cuerda,rope,kwer-dah,Objects
hilo,thread,ee-loh,Objects
aguja,needle,ah-goo-hah,Objects
tijeras,scissors,tee-heh-rahs,Objects
herramienta,tool,eh-rrah-myen-tah,Objects
martillo,hammer,mar-tee-yoh,Objects
clavo,nail,klah-voh,Objects
tornillo,screw,tor-nee-yoh,Objects
máquina,machine,mah-kee-nah,Objects
motor,motor/engine,moh-tor,Objects
rueda,wheel,rweh-dah,Objects
llanta,tire,yahn-tah,Objects
freno,brake,freh-noh,Objects
gasolina,gasoline,gah-soh-lee-nah,Objects
teclado,keyboard,teh-klah-doh,Tech
ratón,mouse (computer),rah-tohn,Tech
pantalla,screen,pahn-tah-yah,Tech
archivo,file,ahr-chee-voh,Tech
carpeta,folder,kar-peh-tah,Tech
enlace,link,en-lah-seh,Tech
red,network,red,Tech
señal,signal,seh-nyahl,Tech
código,code,koh-dee-goh,Tech
contraseña,password,kon-trah-seh-nyah,Tech
usuario,user,oo-swah-ryoh,Tech
programa,program,proh-grah-mah,Tech
aplicación,application (app),ah-plee-kah-syohn,Tech
memoria,memory,meh-moh-ryah,Tech
cámara,camera,kah-mah-rah,Tech
radio,radio,rah-dyoh,Tech
televisión,television,teh-leh-vee-syohn,Tech
control,control/remote,kon-trol,Tech
botón,button,boh-tohn,Objects
llave,key,yah-veh,Objects
candado,padlock,kahn-dah-doh,Objects
caja,box,kah-hah,Objects
paquete,package,pah-keh-teh,Objects
bolsa,bag,bol-sah,Objects
maleta,suitcase,mah-leh-tah,Objects
mochila,backpack,moh-chee-lah,Objects
cartera,wallet,kar-teh-rah,Objects
moneda,coin,moh-neh-dah,Objects
billete,bill (money),bee-yeh-teh,Objects
tarjeta,card,tar-heh-tah,Objects
firma,signature,feer-mah,Objects
contrato,contract,kon-trah-toh,Objects
seguro,insurance,seh-goo-roh,Objects
policía,police,poh-lee-syah,City
bombero,firefighter,bom-beh-roh,City
correo,mail/post office,koh-rreh-oh,City
parque,park,pahr-keh,City
plaza,square (city),plah-sah,City
mercado,market,mer-kah-doh,City
tienda,store,tyen-dah,City
restaurante,restaurant,res-tow-rahn-teh,City
cafetería,cafeteria/cafe,kah-feh-teh-ree-ah,City
bar,bar,bahr,City
hotel,hotel,oh-tel,City
museo,museum,moo-seh-oh,City
aeropuerto,airport,ah-eh-roh-pwer-toh,City
estación,station,es-tah-syohn,City
parada,stop (bus),pah-rah-dah,City
semáforo,traffic light,seh-mah-foh-roh,City
tráfico,traffic,trah-fee-koh,City
calle,street,kah-yeh,City
avenida,avenue,ah-veh-nee-dah,City
esquina,corner,es-kee-nah,City
cuadra,block (city),kwah-drah,City
barrio,neighborhood,bah-rryoh,City
vecino,neighbor,veh-see-noh,People
invitado,guest,een-vee-tah-doh,People
visitante,visitor,vee-see-tahn-teh,People
turista,tourist,too-rees-tah,People
extranjero,foreigner,ex-trahn-heh-roh,People
enemigo,enemy,eh-neh-mee-goh,People
prisionero,prisoner,pree-syo-neh-roh,People
ladrón,thief,lah-drohn,People
asesino,killer,ah-seh-see-noh,People
víctima,victim,veek-tee-mah,People
testigo,witness,tes-tee-goh,People
juez,judge,hwehs,People
abogado,lawyer,ah-boh-gah-doh,People
presidente,president,preh-see-den-teh,People
ministro,minister,mee-nees-troh,People
alcalde,mayor,ahl-kahl-deh,People
líder,leader,lee-der,People
miembro,member,myem-broh,People
socio,partner/member,soh-syoh,People
adulto,adult,ah-dool-toh,People
bebé,baby,beh-beh,People
anciano,elderly person,ahn-syah-noh,People
humano,human,oo-mah-noh,People
caballero,gentleman/knight,kah-bah-yeh-roh,People
dama,lady,dah-mah,People
rey,king,rrey,People
reina,queen,rray-nah,People
príncipe,prince,preen-see-peh,People
princesa,princess,preen-seh-sah,People
explicar,to explain,ex-plee-kahr,Verbs (Comms)
ofrecer,to offer,oh-freh-ser,Verbs (Social)
aceptar,to accept,ah-sep-tahr,Verbs (Social)
rechazar,to reject,reh-chah-sahr,Verbs (Social)
compartir,to share,kom-par-teer,Verbs (Social)
elegir,to choose,eh-leh-heer,Verbs (Cognitive)
decidir,to decide,deh-see-deer,Verbs (Cognitive)
preferir,to prefer,preh-feh-reer,Verbs (Cognitive)
olvidar,to forget,ol-vee-dahr,Verbs (Cognitive)
imaginar,to imagine,ee-mah-hee-nahr,Verbs (Cognitive)
preocupar,to worry,preh-oh-koo-pahr,Verbs (Emotion)
esperar,to wait/hope,es-peh-rahr,Verbs (Emotion)
desear,to wish,deh-seh-ahr,Verbs (Emotion)
disfrutar,to enjoy,dees-froo-tahr,Verbs (Emotion)
sufrir,to suffer,soo-freer,Verbs (Emotion)
llorar,to cry,yoh-rahr,Verbs (Emotion)
reír,to laugh,rreh-eer,Verbs (Emotion)
sonreír,to smile,son-rreh-eer,Verbs (Emotion)
besar,to kiss,beh-sahr,Verbs (Action)
abrazar,to hug,ah-brah-sahr,Verbs (Action)
tocar,to touch/play,toh-kahr,Verbs (Action)
empujar,to push,em-poo-hahr,Verbs (Action)
tirar,to pull/throw,tee-rahr,Verbs (Action)
levantar,to lift,leh-vahn-tahr,Verbs (Action)
caer,to fall,kah-er,Verbs (Action)
romper,to break,rrom-per,Verbs (Action)
cortar,to cut,kor-tahr,Verbs (Action)
pegar,to hit/glue,peh-gahr,Verbs (Action)
luchar,to fight,loo-chahr,Verbs (Action)
matar,to kill,mah-tahr,Verbs (Action)
salvar,to save,sahl-vahr,Verbs (Action)
proteger,to protect,proh-teh-her,Verbs (Action)
cuidar,to take care of,kwee-dahr,Verbs (Action)
crecer,to grow,kreh-ser,Verbs (State)
nacer,to be born,nah-ser,Verbs (State)
morir,to die,moh-reer,Verbs (State)
casar,to marry,kah-sahr,Verbs (State)
divorciar,to divorce,dee-vor-syahr,Verbs (State)
viajar,to travel,vyah-hahr,Verbs (Motion)
volar,to fly,voh-lahr,Verbs (Motion)
nadar,to swim,nah-dahr,Verbs (Motion)
correr,to run,koh-rreh,Verbs (Motion)
saltar,to jump,sahl-tahr,Verbs (Motion)
bailar,to dance,by-lahr,Verbs (Motion)
manejar,to drive (LatAm),mah-neh-hahr,Verbs (Motion)
conducir,to drive (Spain),kon-doo-seer,Verbs (Motion)
cruzar,to cross,kroo-sahr,Verbs (Motion)
girar,to turn,hee-rahr,Verbs (Motion)
regresar,to return,reh-greh-sahr,Verbs (Motion)
llegar,to arrive,yeh-gahr,Verbs (Motion)
salir,to leave,sah-leer,Verbs (Motion)
entrar,to enter,en-trahr,Verbs (Motion)
meter,to put in,meh-ter,Verbs (Motion)
sacar,to take out,sah-kahr,Verbs (Motion)
llenar,to fill,yeh-nahr,Verbs (Motion)
vaciar,to empty,vah-syahr,Verbs (Motion)
cubrir,to cover,koo-breer,Verbs (Motion)
descubrir,to discover,des-koo-breer,Verbs (Cognitive)
mostrar,to show,mohs-trahr,Verbs (Social)
esconder,to hide,es-kon-der,Verbs (Action)
buscar,to look for,boos-kahr,Verbs (Action)
encontrar,to find,en-kon-trahr,Verbs (Action)
perder,to lose,per-der,Verbs (Action)
ganar,to win,gah-nahr,Verbs (Action)
intentar,to try,een-ten-tahr,Verbs (Action)
lograr,to achieve,loh-grahr,Verbs (Action)
fallar,to fail,fah-yahr,Verbs (Action)
cometer,to commit,koh-meh-ter,Verbs (Action)
resolver,to solve,reh-sol-ver,Verbs (Cognitive)
dudar,to doubt,doo-dahr,Verbs (Cognitive)
creer,to believe,kreh-er,Verbs (Cognitive)
negar,to deny,neh-gahr,Verbs (Comms)
admitir,to admit,ahd-mee-teer,Verbs (Comms)
prometer,to promise,proh-meh-ter,Verbs (Comms)
jurar,to swear,hoo-rahr,Verbs (Comms)
gritar,to shout,gree-tahr,Verbs (Comms)
susurrar,to whisper,soo-soo-rrahr,Verbs (Comms)
callar,to silence,kah-yahr,Verbs (Comms)
escuchar,to listen,es-koo-chahr,Verbs (Sensory)
ver,to see,ver,Verbs (Sensory)
mirar,to look,mee-rahr,Verbs (Sensory)
observar,to observe,ob-ser-vahr,Verbs (Sensory)
oler,to smell,oh-ler,Verbs (Sensory)
saber,to taste/know,sah-ber,Verbs (Sensory)
parecer,to seem,pah-reh-ser,Verbs (State)
sonar,to sound/ring,soh-nahr,Verbs (Sensory)
brillar,to shine,bree-yahr,Verbs (State)
quemar,to burn,keh-mahr,Verbs (State)
congelar,to freeze,kon-heh-lahr,Verbs (State)
hervir,to boil,er-veer,Verbs (State)
fumar,to smoke,foo-mahr,Verbs (Action)
respirar,to breathe,res-pee-rahr,Verbs (Body)
toser,to cough,toh-ser,Verbs (Body)
estornudar,to sneeze,es-tor-noo-dahr,Verbs (Body)
vomitar,to vomit,voh-mee-tahr,Verbs (Body)
sangrar,to bleed,sahn-grahr,Verbs (Body)
curar,to cure,koo-rahr,Verbs (Body)
doler,to hurt,doh-ler,Verbs (Body)
pesar,to weigh,peh-sahr,Verbs (Measure)
medir,to measure,meh-deer,Verbs (Measure)
costar,to cost,kohs-tahr,Verbs (Measure)
valer,to be worth,vah-ler,Verbs (Measure)
bastar,to be enough,bahs-tahr,Verbs (State)
sobrar,to be left over,soh-brahr,Verbs (State)
faltar,to lack/be missing,fahl-tahr,Verbs (State)
pertenecer,to belong,per-teh-neh-ser,Verbs (State)
depender,to depend,deh-pen-der,Verbs (State)
importar,to matter,eem-por-tahr,Verbs (State)
interesar,to interest,een-teh-reh-sahr,Verbs (State)
molestar,to bother,moh-les-tahr,Verbs (Emotion)
sorprender,to surprise,sor-pren-der,Verbs (Emotion)
asustar,to scare,ah-soos-tahr,Verbs (Emotion)
aburrir,to bore,ah-boo-rreer,Verbs (Emotion)
cansar,to tire,kahn-sahr,Verbs (Body)
relajar,to relax,reh-lah-hahr,Verbs (Body)
descansar,to rest,des-kahn-sahr,Verbs (Body)
despertar,to wake up,des-per-tahr,Verbs (Body)
levantar,to get up,leh-vahn-tahr,Verbs (Body)
vestir,to dress,ves-teer,Verbs (Body)
peinar,to comb,pay-nahr,Verbs (Body)
cepillar,to brush,seh-pee-yahr,Verbs (Body)
bañar,to bathe,bah-nyahr,Verbs (Body)
afeitar,to shave,ah-fay-tahr,Verbs (Body)
maquillar,to put on makeup,mah-kee-yahr,Verbs (Body)
pronto,soon,prohn-toh,Adverbs
temprano,early,tem-prah-noh,Adverbs
tarde,late,tahr-deh,Adverbs
ahora,now,ah-oh-rah,Adverbs
luego,later,lweh-goh,Adverbs
entonces,then,en-tohn-ses,Adverbs
después,after,des-pwes,Adverbs
antes,before,ahn-tes,Adverbs
mientras,while,myen-trahs,Adverbs
siempre,always,syem-preh,Adverbs
nunca,never,noon-kah,Adverbs
jamás,never (emphatic),hah-mahs,Adverbs
a veces,sometimes,ah veh-ses,Adverbs
quizás,maybe,kee-sahs,Adverbs
tal vez,perhaps,tahl ves,Adverbs
probablemente,probably,proh-bah-bleh-men-teh,Adverbs
seguramente,surely,seh-goo-rah-men-teh,Adverbs
realmente,really,reh-ahl-men-teh,Adverbs
verdaderamente,truly,ver-dah-deh-rah-men-teh,Adverbs
simplemente,simply,seem-pleh-men-teh,Adverbs
solamente,only,soh-lah-men-teh,Adverbs
apenas,barely,ah-peh-nahs,Adverbs
casi,almost,kah-see,Adverbs
bastante,enough/quite,bahs-tahn-teh,Adverbs
demasiado,too much,deh-mah-syah-doh,Adverbs
muy,very,mwee,Adverbs
tan,so,tahn,Adverbs
más,more,mahs,Adverbs
menos,less,meh-nohs,Adverbs
mejor,better,meh-hor,Adverbs
peor,worse,peh-or,Adverbs
bien,well,byen,Adverbs
mal,badly,mahl,Adverbs
así,like this/so,ah-see,Adverbs
despacio,slowly,des-pah-syoh,Adverbs
rápido,fast,rrah-pee-doh,Adverbs
alto,loudly/high,ahl-toh,Adverbs
bajo,quietly/low,bah-hoh,Adverbs
juntos,together,hoon-tohs,Adverbs
solos,alone,soh-lohs,Adverbs
claro,clearly/of course,klah-roh,Adverbs
arriba,up,ah-rree-bah,Prepositions
abajo,down,ah-bah-hoh,Prepositions
dentro,inside,den-troh,Prepositions
fuera,outside,fweh-rah,Prepositions
encima,on top,en-see-mah,Prepositions
debajo,underneath,deh-bah-hoh,Prepositions
delante,in front,deh-lahn-teh,Prepositions
detrás,behind,deh-trahs,Prepositions
cerca,near,ser-kah,Prepositions
lejos,far,leh-hos,Prepositions
aquí,here,ah-kee,Prepositions
allí,there,ah-yee,Prepositions
allá,over there,ah-yah,Prepositions
donde,where,dohn-deh,Prepositions
adonde,to where,ah-dohn-deh,Prepositions
de donde,from where,deh dohn-deh,Prepositions
porque,because,por-keh,Conjunctions
como,like/as,koh-moh,Conjunctions
si,if,see,Conjunctions
aunque,although,own-keh,Conjunctions
pero,but,peh-roh,Conjunctions
sino,but rather,see-noh,Conjunctions
o,or,oh,Conjunctions
y,and,ee,Conjunctions
ni,nor,nee,Conjunctions
que,that,keh,Conjunctions
quien,who,kyen,Conjunctions
cual,which,kwahl,Conjunctions
cuyo,whose,koo-yoh,Conjunctions
cuando,when,kwahn-doh,Conjunctions
mientras,while,myen-trahs,Conjunctions
hasta,until,ahs-tah,Conjunctions
desde,since,des-deh,Conjunctions
para,for (purpose),pah-rah,Prepositions
por,for (cause),por,Prepositions
con,with,kon,Prepositions
sin,without,seen,Prepositions
contra,against,kon-trah,Prepositions
entre,between,en-treh,Prepositions
sobre,about/on,soh-breh,Prepositions
de,of/from,deh,Prepositions
a,to,ah,Prepositions
en,in/on,en,Prepositions
durante,during,doo-rahn-teh,Prepositions
hacia,toward,ah-syah,Prepositions
según,according to,seh-goon,Prepositions
mediante,by means of,meh-dyahn-teh,Prepositions
tras,after/behind,trahs,Prepositions
frente a,facing,fren-teh ah,Prepositions
al lado de,next to,ahl lah-doh deh,Prepositions
alrededor de,around,ahl-reh-deh-dor deh,Prepositions
a través de,through,ah trah-ves deh,Prepositions
a pesar de,in spite of,ah peh-sahr deh,Prepositions
en vez de,instead of,en ves deh,Prepositions
gracias a,thanks to,grah-syahs ah,Prepositions
debido a,due to,deh-bee-doh ah,Prepositions
lindo,cute/nice,leen-doh,Adjectives
feo,ugly,feh-oh,Adjectives
guapo,handsome,gwah-poh,Adjectives
horrible,horrible,oh-rree-bleh,Adjectives
maravilloso,wonderful,mah-rah-vee-yoh-soh,Adjectives
increíble,incredible,een-kreh-ee-bleh,Adjectives
imposible,impossible,eem-po-see-bleh,Adjectives
útil,useful,oo-teel,Adjectives
inútil,useless,een-oo-teel,Adjectives
capaz,capable,kah-pahs,Adjectives
incapaz,incapable,een-kah-pahs,Adjectives
listo,ready/smart,lees-toh,Adjectives
torpe,clumsy,tor-peh,Adjectives
loco,crazy,loh-koh,Adjectives
cuerdo,sane,kwer-doh,Adjectives
borracho,drunk,boh-rrah-choh,Adjectives
sobrio,sober,soh-bryoh,Adjectives
vivo,alive,vee-voh,Adjectives
muerto,dead,mwer-toh,Adjectives
desnudo,naked,des-noo-doh,Adjectives
vestido,dressed,ves-tee-doh,Adjectives
sencillo,simple,sen-see-yoh,Adjectives
complejo,complex,kom-pleh-hoh,Adjectives
básico,basic,bah-see-koh,Adjectives
principal,main,preen-see-pahl,Adjectives
final,final,fee-nahl,Adjectives
inicial,initial,ee-nee-syahl,Adjectives
anterior,previous,ahn-teh-ryor,Adjectives
posterior,posterior/later,pohs-teh-ryor,Adjectives
superior,superior,soo-peh-ryor,Adjectives
inferior,inferior,een-feh-ryor,Adjectives
interior,inner,een-teh-ryor,Adjectives
exterior,outer,ex-teh-ryor,Adjectives
nacional,national,nah-syo-nahl,Adjectives
internacional,international,een-ter-nah-syo-nahl,Adjectives
público,public,poo-blee-koh,Adjectives
privado,private,pree-vah-doh,Adjectives
social,social,soh-syahl,Adjectives
político,political,poh-lee-tee-koh,Adjectives
económico,economic,eh-koh-noh-mee-koh,Adjectives
militar,military,mee-lee-tahr,Adjectives
religioso,religious,reh-lee-hyoh-soh,Adjectives
cultural,cultural,kool-too-rahl,Adjectives
histórico,historical,ees-toh-ree-koh,Adjectives
físico,physical,fee-see-koh,Adjectives
mental,mental,men-tahl,Adjectives
emocional,emotional,eh-moh-syo-nahl,Adjectives
personal,personal,per-soh-nahl,Adjectives
profesional,professional,proh-feh-syo-nahl,Adjectives
oficial,official,oh-fee-syahl,Adjectives
real,royal/real,reh-ahl,Adjectives
falso,false,fahl-soh,Adjectives
correcto,correct,koh-rrek-toh,Adjectives
incorrecto,incorrect,een-koh-rrek-toh,Adjectives
exacto,exact,ek-sahk-toh,Adjectives
justo,fair/just,hoos-toh,Adjectives
injusto,unfair,een-hoos-toh,Adjectives
ilegal,illegal,ee-leh-gahl,Adjectives
legal,legal,leh-gahl,Adjectives
responsable,responsible,res-pohn-sah-bleh,Adjectives
libre,free,lee-breh,Adjectives
ocupado,busy/occupied,oh-koo-pah-doh,Adjectives
disponible,available,dees-poh-nee-bleh,Adjectives
abierto,open,ah-byer-toh,Adjectives
cerrado,closed,seh-rrah-doh,Adjectives
roto,broken,rroh-toh,Adjectives
arreglado,fixed,ah-rreh-glah-doh,Adjectives
perdido,lost,per-dee-doh,Adjectives
